ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1.000,0.000,0.000,0.000,0.000,0.000,1.95%,1.34%,1.90260785842194,21.86%,60.00%,40.00%
2,0.000,1.000,0.000,0.000,0.000,0.000,2.38%,0.64%,1.26328666976097,12.87%,55.00%,65.00%
3,0.000,0.000,1.000,0.000,0.000,0.000,8.03%,2.65%,1.89433911474852,20.83%,55.00%,50.00%
4,0.000,0.000,0.000,1.000,0.000,0.000,-0.67%,0.07%,1.42545367196926,15.55%,55.00%,35.00%
5,0.000,0.000,0.000,0.000,1.000,0.000,2.20%,0.44%,1.09457872420659,10.67%,65.00%,70.00%
6,0.000,0.000,0.000,0.000,0.000,1.000,-5.34%,-1.49%,0.859994814225728,8.89%,40.00%,30.00%
7,0.500,0.500,0.000,0.000,0.000,0.000,6.19%,1.63%,1.39219244061401,14.41%,55.00%,65.00%
8,0.500,0.000,0.500,0.000,0.000,0.000,6.17%,2.34%,1.93911838502618,21.82%,60.00%,50.00%
9,0.000,0.500,0.500,0.000,0.000,0.000,7.82%,1.97%,1.35446157422151,13.77%,55.00%,70.00%
10,0.500,0.000,0.000,0.500,0.000,0.000,6.85%,1.90%,1.52495734528824,16.28%,55.00%,40.00%
11,0.000,0.500,0.000,0.500,0.000,0.000,4.73%,1.23%,1.24737550166848,13.18%,65.00%,65.00%
12,0.000,0.000,0.500,0.500,0.000,0.000,9.84%,2.64%,1.59140867642691,16.61%,60.00%,55.00%
13,0.500,0.000,0.000,0.000,0.500,0.000,2.56%,0.74%,1.4207594823452,14.60%,55.00%,50.00%
14,0.000,0.500,0.000,0.000,0.500,0.000,4.60%,1.07%,1.09153718533456,10.99%,65.00%,75.00%
15,0.000,0.000,0.500,0.000,0.500,0.000,4.17%,1.10%,1.41954640636682,14.24%,55.00%,50.00%
16,0.000,0.000,0.000,0.500,0.500,0.000,3.57%,0.95%,1.20324449763971,12.94%,65.00%,60.00%
